Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        4     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::clear()
  0.00      0.00     0.00        4     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::erase(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
  0.00      0.00     0.00        4     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::operator=(std::vector<std::string, std::allocator<std::string> > const&)
  0.00      0.00     0.00        3     0.00     0.00  JobsHandler::getMainPid()
  0.00      0.00     0.00        3     0.00     0.00  Job::getPid()
  0.00      0.00     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<Job>::max_size() const
  0.00      0.00     0.00        3     0.00     0.00  std::string* std::__copy_move<false, false, std::random_access_iterator_tag>::__copy_m<std::string const*, std::string*>(std::string const*, std::string const*, std::string*)
  0.00      0.00     0.00        3     0.00     0.00  void std::_Destroy_aux<false>::__destroy<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
  0.00      0.00     0.00        3     0.00     0.00  std::__niter_base<std::string*, false>::__b(std::string*)
  0.00      0.00     0.00        3     0.00     0.00  std::string* std::__copy_move_a<false, std::string const*, std::string*>(std::string const*, std::string const*, std::string*)
  0.00      0.00     0.00        3     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > >(__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
  0.00      0.00     0.00        3     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > std::copy<__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > >(__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
  0.00      0.00     0.00        3     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
  0.00      0.00     0.00        3     0.00     0.00  void std::_Destroy<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, std::string>(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, std::allocator<std::string>&)
  0.00      0.00     0.00        2     0.00     0.00  Job::setState(int)
  0.00      0.00     0.00        2     0.00     0.00  Job::~Job()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<Job*, std::vector<Job, std::allocator<Job> > >::operator+(int const&) const
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<Job, std::allocator<Job> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00        2     0.00     0.00  std::vector<Job, std::allocator<Job> >::max_size() const
  0.00      0.00     0.00        2     0.00     0.00  void std::_Destroy_aux<false>::__destroy<Job*>(Job*, Job*)
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<Job, std::allocator<Job> >::_M_deallocate(Job*, unsigned int)
  0.00      0.00     0.00        2     0.00     0.00  std::__miter_base<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, false>::__b(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
  0.00      0.00     0.00        2     0.00     0.00  std::__miter_base<std::string*, false>::__b(std::string*)
  0.00      0.00     0.00        2     0.00     0.00  Job* std::__uninitialized_copy<false>::uninitialized_copy<Job*, Job*>(Job*, Job*, Job*)
  0.00      0.00     0.00        2     0.00     0.00  std::vector<Job, std::allocator<Job> >::end()
  0.00      0.00     0.00        2     0.00     0.00  std::vector<Job, std::allocator<Job> >::begin()
  0.00      0.00     0.00        2     0.00     0.00  Job* std::uninitialized_copy<Job*, Job*>(Job*, Job*, Job*)
  0.00      0.00     0.00        2     0.00     0.00  Job* std::__uninitialized_copy_a<Job*, Job*, Job>(Job*, Job*, Job*, std::allocator<Job>&)
  0.00      0.00     0.00        2     0.00     0.00  Job* std::__uninitialized_move_a<Job*, Job*, std::allocator<Job> >(Job*, Job*, Job*, std::allocator<Job>&)
  0.00      0.00     0.00        2     0.00     0.00  void std::_Destroy<Job*>(Job*, Job*)
  0.00      0.00     0.00        2     0.00     0.00  void std::_Destroy<Job*, Job>(Job*, Job*, std::allocator<Job>&)
  0.00      0.00     0.00        2     0.00     0.00  std::operator|(std::_Ios_Openmode, std::_Ios_Openmode)
  0.00      0.00     0.00        1     0.00     0.00  global constructors keyed to jobsHandler
  0.00      0.00     0.00        1     0.00     0.00  global constructors keyed to runner
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.00     0.00        1     0.00     0.00  JobsHandler::setJobState(unsigned int, int)
  0.00      0.00     0.00        1     0.00     0.00  JobsHandler::removeJobByPid(int)
  0.00      0.00     0.00        1     0.00     0.00  JobsHandler::setJobStateByPid(int, int)
  0.00      0.00     0.00        1     0.00     0.00  JobsHandler::init()
  0.00      0.00     0.00        1     0.00     0.00  JobsHandler::addJob(std::string, int, int)
  0.00      0.00     0.00        1     0.00     0.00  JobsHandler::showJobs(IOHandler&)
  0.00      0.00     0.00        1     0.00     0.00  JobsHandler::JobsHandler()
  0.00      0.00     0.00        1     0.00     0.00  Job::getLine()
  0.00      0.00     0.00        1     0.00     0.00  Job::getState()
  0.00      0.00     0.00        1     0.00     0.00  Job::Job(Job const&)
  0.00      0.00     0.00        1     0.00     0.00  Job::Job(std::string, int, int)
  0.00      0.00     0.00        1     0.00     0.00  Runner::Runner()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<Job>::deallocate(Job*, unsigned int)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<Job>::destroy(Job*)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<Job>::allocate(unsigned int, void const*)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<Job>::construct(Job*, Job const&)
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<Job>::new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<Job>::~new_allocator()
  0.00      0.00     0.00        1     0.00     0.00  __gnu_cxx::__normal_iterator<Job*, std::vector<Job, std::allocator<Job> > >::difference_type __gnu_cxx::operator-<Job*, std::vector<Job, std::allocator<Job> > >(__gnu_cxx::__normal_iterator<Job*, std::vector<Job, std::allocator<Job> > > const&, __gnu_cxx::__normal_iterator<Job*, std::vector<Job, std::allocator<Job> > > const&)
  0.00      0.00     0.00        1     0.00     0.00  bool __gnu_cxx::operator!=<Job*, std::vector<Job, std::allocator<Job> > >(__gnu_cxx::__normal_iterator<Job*, std::vector<Job, std::allocator<Job> > > const&, __gnu_cxx::__normal_iterator<Job*, std::vector<Job, std::allocator<Job> > > const&)
